"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-java_7u25","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","No connection","",""
"clientsimulation-java_8u161","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-java1102","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_110l","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","100","",""
"protocol_support_score_weighted","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","30","",""
"key_exchange_score","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","90","",""
"key_exchange_score_weighted","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","27","",""
"cipher_strength_score","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","90","",""
"cipher_strength_score_weighted","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","36","",""
"final_score","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","93","",""
"overall_grade","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","A+","",""
